0,1,2,3,4,5,6,7,8,9,10,Overs
49.5,49.4,49.3,48.9,47.9,44.9,37.6,23.5,8.5,1.8,0,24.4
49.8,49.8,49.6,49.3,48.2,45.2,37.8,23.5,8.5,1.8,0,24.5
,,,,,,,,,,,24.6
,,,,,,,,,,,24.7
,,,,,,,,,,,24.8
,,,,,,,,,,,24.9
50.2,50.1,50,49.6,48.5,45.5,37.9,23.6,8.5,1.8,0,25
50.5,50.4,50.3,49.9,48.8,45.7,38.1,23.6,8.5,1.8,0,25.1
50.8,50.8,50.6,50.2,49.1,46,38.3,23.7,8.5,1.8,0,25.2
51.1,51.1,51,50.6,49.4,46.3,38.5,23.7,8.5,1.8,0,25.3
51.5,51.4,51.3,50.9,49.7,46.6,38.7,23.8,8.5,1.8,0,25.4
51.8,51.8,51.6,51.2,50,46.8,38.9,23.8,8.5,1.8,0,25.5
,,,,,,,,,,,25.6
,,,,,,,,,,,25.7
,,,,,,,,,,,25.8
,,,,,,,,,,,25.9
52.1,52.1,51.9,51.5,50.4,47.1,39,23.9,8.5,1.8,0,26
52.5,52.4,52.3,51.9,50.7,47.4,39.2,24,8.5,1.8,0,26.1
52.8,52.8,52.6,52.2,51,47.6,39.4,24,8.5,1.8,0,26.2
53.1,53.1,52.9,52.5,51.3,47.9,39.6,24.1,8.5,1.8,0,26.3
53.5,53.4,53.3,52.8,51.6,48.2,39.8,24.1,8.5,1.8,0,26.4
53.8,53.8,53.6,53.2,51.9,48.4,39.9,24.2,8.5,1.8,0,26.5
,,,,,,,,,,,26.6
,,,,,,,,,,,26.7
,,,,,,,,,,,26.8
,,,,,,,,,,,26.9
54.1,54.1,53.9,53.5,52.2,48.7,40.1,24.2,8.5,1.8,0,27
54.5,54.4,54.3,53.8,52.5,49,40.3,24.3,8.5,1.8,0,27.1
54.8,54.8,54.6,54.1,52.8,49.3,40.5,24.3,8.5,1.8,0,27.2
55.1,55.1,54.9,54.5,53.1,49.5,40.6,24.4,8.5,1.8,0,27.3
55.5,55.4,55.3,54.8,53.5,49.8,40.8,24.4,8.5,1.8,0,27.4
55.8,55.7,55.6,55.1,53.8,50.1,41,24.5,8.5,1.8,0,27.5
,,,,,,,,,,,27.6
,,,,,,,,,,,27.7
,,,,,,,,,,,27.8
,,,,,,,,,,,27.9
56.1,56.1,55.9,55.4,54.1,50.3,41.2,24.5,8.5,1.8,0,28
56.5,56.4,56.2,55.8,54.4,50.6,41.3,24.5,8.5,1.8,0,28.1
56.8,56.7,56.6,56.1,54.7,50.9,41.5,24.6,8.5,1.8,0,28.2
57.1,57.1,56.9,56.4,55,51.1,41.7,24.6,8.5,1.8,0,28.3
57.5,57.4,57.2,56.7,55.3,51.4,41.9,24.7,8.5,1.8,0,28.4
57.8,57.7,57.6,57.1,55.6,51.6,42,24.7,8.5,1.8,0,28.5
,,,,,,,,,,,28.6
,,,,,,,,,,,28.7
,,,,,,,,,,,28.8
,,,,,,,,,,,28.9
58.1,58.1,57.9,57.4,55.9,51.9,42.2,24.8,8.5,1.8,0,29
58.5,58.4,58.2,57.7,56.2,52.2,42.4,24.8,8.5,1.8,0,29.1
58.8,58.7,58.6,58,56.5,52.4,42.5,24.9,8.5,1.8,0,29.2
59.1,59.1,58.9,58.4,56.8,52.7,42.7,24.9,8.5,1.8,0,29.3
59.5,59.4,59.2,58.7,57.2,53,42.9,24.9,8.5,1.8,0,29.4
59.8,59.7,59.5,59,57.5,53.2,43,25,8.5,1.8,0,29.5
,,,,,,,,,,,29.6
,,,,,,,,,,,29.7
,,,,,,,,,,,29.8
,,,,,,,,,,,29.9
60.1,60.1,59.9,59.3,57.8,53.5,43.2,25,8.5,1.8,0,30
60.5,60.4,60.2,59.6,58.1,53.8,43.4,25.1,8.5,1.8,0,30.1
60.8,60.7,60.5,60,58.4,54,43.5,25.1,8.6,1.8,0,30.2
61.1,61.1,60.9,60.3,58.7,54.3,43.7,25.1,8.6,1.8,0,30.3
61.5,61.4,61.2,60.6,59,54.5,43.8,25.2,8.6,1.8,0,30.4
61.8,61.7,61.5,60.9,59.3,54.8,44,25.2,8.6,1.8,0,30.5
,,,,,,,,,,,30.6
,,,,,,,,,,,30.7
,,,,,,,,,,,30.8
,,,,,,,,,,,30.9
62.1,62.1,61.8,61.3,59.6,55.1,44.2,25.2,8.6,1.8,0,31
